rno,sname,eng,maths,phy,che,IP
1,a,100,66,77,34,22
2,b,56,99,78,55,44
3,12,57,132,79,76,66
4,d,58,165,80,97,88
5,e,59,198,81,118,110
6,f,60,231,82,139,132
7,g,61,264,83,160,154
8,h,62,297,84,181,176
9,i,63,330,85,202,198
10,j,64,363,86,223,220
11,k,65,396,87,244,242
12,l,66,429,88,265,264
13,m,67,462,89,286,286
14,n,68,495,90,307,308
15,o,69,528,91,328,330
16,p,70,561,92,349,352
17,q,71,594,93,370,374
18,r,72,627,94,391,396
19,s,73,660,95,412,418
20,t,74,693,96,433,440
21,u,75,726,97,454,462
22,v,34,759,98,475,484
23,w,77,792,99,496,506
24,x,50,825,100,517,528
25,y,100,858,101,538,550
26,z,10000,891,102,559,56
